Company ID,Seed Date,Seed Investor IDs,Seed Investors
51650-02,09/09/2009,10133-20,Investor 155
51654-79,01/05/2012,105953-14;105955-84;105976-18;106098-04;106099-03;106125-94,Investor 617;Investor 622;Investor 656;Investor 841;Investor 842;Investor 891
51654-88,04/14/2010,105950-17;106054-30,Investor 612;Investor 775
51655-06,03/30/2011,105949-45;106007-68;106019-74;106036-75;106070-32;106104-88;106122-79,Investor 610;Investor 699;Investor 719;Investor 747;Investor 799;Investor 855;Investor 883
51655-33,10/14/2009,105976-18;106067-89;106116-94,Investor 656;Investor 795;Investor 872
51657-22,03/07/2011,106007-68;106039-72,Investor 699;Investor 751
51660-37,04/03/2007,10133-20,Investor 155
51663-43,03/09/2011,10049-14,Investor 66
51663-79,09/12/2007,10123-03,Investor 151
51664-42,05/15/2013,10051-21,Investor 68
51666-94,03/09/2011,105851-98;105893-83;106015-96;106124-41,Investor 478;Investor 537;Investor 713;Investor 886
51667-48,05/03/2010,105930-91;105942-43;106067-89;106081-12;106104-88;106128-19,Investor 583;Investor 600;Investor 795;Investor 812;Investor 855;Investor 894
51674-77,04/26/2010,10121-86;105976-18;106049-26;106060-33,Investor 150;Investor 656;Investor 768;Investor 785
51675-67,03/11/2011,106007-68;106054-39;106122-79;106123-24,Investor 699;Investor 776;Investor 883;Investor 884
51683-95,01/01/2010,106039-45,Investor 750
51684-31,02/22/2011,105961-15;105964-84;105976-18;105980-23;106092-64,Investor 630;Investor 636;Investor 656;Investor 664;Investor 830
51686-47,03/15/2011,10242-91,Investor 245
51686-56,03/16/2011,10242-91,Investor 245
51697-00,03/17/2011,105997-24;106104-61,Investor 683;Investor 853
51697-09,07/01/2008,10509-85,Investor 422
51699-79,10/09/2008,10581-22,Investor 457
51700-51,03/16/2011,10135-81,Investor 157
51700-96,10/30/2008,106059-16,Investor 782
51701-23,03/21/2011,10052-20,Investor 69
51704-92,01/20/2010,10134-73;105916-06;105976-18;106022-62;106054-39,Investor 156;Investor 562;Investor 656;Investor 727;Investor 776
51705-37,03/21/2011,10404-28,Investor 349
51706-36,03/22/2011,10402-12,Investor 345
51707-26,08/24/2007,10109-26,Investor 141
51708-07,01/01/2007,10109-26;106093-90,Investor 141;Investor 834
51708-43,08/30/2007,10109-26,Investor 141
51709-42,04/21/2009,10109-26,Investor 141
51709-69,11/06/2007,10109-26,Investor 141
51711-58,03/02/2010,10139-41;106036-12;106067-89,Investor 161;Investor 744;Investor 795
51712-75,03/23/2011,105879-16;105934-24;106092-64;106116-94,Investor 510;Investor 587;Investor 830;Investor 872
51713-74,05/15/2007,10215-64,Investor 215
51717-16,06/25/2007,106093-90,Investor 834
51717-25,03/23/2011,10602-37,Investor 728
51717-34,03/23/2011,105893-83;105927-94;106008-13;106060-33;106092-64,Investor 537;Investor 575;Investor 700;Investor 785;Investor 830
51718-15,03/09/2011,105535-18;106033-87;106036-12;106054-30;106075-72;106128-19,Investor 436;Investor 740;Investor 744;Investor 775;Investor 808;Investor 894
51719-68,03/25/2011,10315-81,Investor 280
51723-91,03/28/2011,10241-47,Investor 243
51725-08,03/29/2011,10134-73;106005-79;106090-66,Investor 156;Investor 698;Investor 825
51735-61,12/21/2007,10134-73,Investor 156
51736-15,03/30/2011,106072-21,Investor 804
51738-49,03/08/2012,105986-62;106072-21;106123-24,Investor 672;Investor 804;Investor 884
51748-21,09/08/2011,10322-83,Investor 283
51750-64,01/17/2012,105964-84;105986-71;105999-40;106039-72;106060-15,Investor 636;Investor 673;Investor 687;Investor 751;Investor 784
51750-82,04/04/2012,10322-83;106072-21,Investor 283;Investor 804
51751-99,10/27/2010,105943-87;105955-84;106107-22,Investor 602;Investor 622;Investor 858
51756-76,12/01/2010,106099-03,Investor 842
51756-85,09/27/2011,105913-27;105929-65;10593-37;105972-49;105976-18;105983-92;105986-71;105999-22;106029-55;106123-24;106128-19,Investor 557;Investor 582;Investor 586;Investor 649;Investor 656;Investor 669;Investor 673;Investor 686;Investor 735;Investor 884;Investor 894
51758-20,03/01/2010,105965-56;106013-53;106025-23,Investor 637;Investor 707;Investor 731
51767-74,04/07/2011,105858-55,Investor 486
51770-08,03/04/2011,105859-09,Investor 488
51774-31,04/12/2011,105999-40;106007-68,Investor 687;Investor 699
51777-73,01/01/2009,10139-41;105927-94;105939-37;106030-63,Investor 161;Investor 575;Investor 594;Investor 737
52104-43,04/15/2011,10133-20,Investor 155
52104-70,02/10/2011,106025-23;106104-88,Investor 731;Investor 855
52104-79,05/01/2012,10322-83,Investor 283
52105-51,04/14/2011,106035-13,Investor 742
52105-78,04/18/2011,105851-98;105884-65;105891-31;105957-37;106115-59,Investor 478;Investor 520;Investor 535;Investor 626;Investor 868
52106-05,10/08/2008,10241-02,Investor 240
52107-85,03/23/2011,10181-17;105934-24,Investor 196;Investor 587
52109-38,05/10/2010,106029-28,Investor 734
52109-74,05/12/2010,106014-88;106099-03,Investor 710;Investor 842
52110-46,04/04/2011,106113-43;106123-24,Investor 865;Investor 884
52113-52,04/18/2011,10133-20;105965-56;106060-33,Investor 155;Investor 637;Investor 785
52115-14,11/24/2008,106067-17,Investor 793
52115-68,10/02/2013,10123-03,Investor 151
52116-58,01/01/2008,106124-86,Investor 887
52119-73,07/01/2007,106047-73,Investor 765
52120-45,02/24/2010,10133-20,Investor 155
52127-20,03/28/2008,105927-94,Investor 575
52129-09,04/22/2011,106039-72,Investor 751
52129-27,04/22/2011,10133-20;10134-73;105921-46;105964-84;105986-62;106029-55;106054-39;106069-96;106092-64,Investor 155;Investor 156;Investor 569;Investor 636;Investor 672;Investor 735;Investor 776;Investor 798;Investor 830
52132-42,04/26/2011,10139-41,Investor 161
52135-30,01/08/2013,10452-52,Investor 379
52136-29,12/14/2009,106009-93,Investor 703
52141-06,04/28/2011,10139-41;106011-46;106105-87,Investor 161;Investor 705;Investor 856
52148-53,05/02/2011,10052-20;105957-10,Investor 69;Investor 625
52148-71,04/28/2008,10015-12,Investor 11
52150-69,05/03/2011,10322-83,Investor 283
52153-75,04/29/2011,106092-64,Investor 830
52155-37,05/04/2011,106063-39,Investor 790
52157-89,03/24/2008,106036-12;106060-33;106099-03;106128-19,Investor 744;Investor 785;Investor 842;Investor 894
52158-79,05/22/2012,10049-14,Investor 66
52163-74,05/02/2011,10135-81,Investor 157
52163-83,04/21/2011,106123-24,Investor 884
52164-91,02/26/2012,10049-14,Investor 66
52167-79,05/23/2011,10139-41;10357-03,Investor 161;Investor 307
52167-88,05/10/2011,10052-20;10139-41;106039-72,Investor 69;Investor 161;Investor 751
52169-50,05/30/2012,105904-27;105992-92;106033-87;106041-70;106054-30;106114-06,Investor 550;Investor 680;Investor 740;Investor 755;Investor 775;Investor 866
52175-80,04/26/2007,105952-60,Investor 616
52179-40,05/12/2011,106038-10,Investor 749
52181-65,04/07/2011,10133-20;105964-84;105976-18;106015-96;106019-74;106053-40;106093-90,Investor 155;Investor 636;Investor 656;Investor 713;Investor 719;Investor 774;Investor 834
52186-24,01/31/2011,10133-20;106124-86,Investor 155;Investor 887
52189-21,05/13/2011,10215-64,Investor 215
52191-19,03/05/2010,106014-88;106099-03;106104-43,Investor 710;Investor 842;Investor 852
52196-59,05/18/2011,105918-31,Investor 564
52196-77,05/18/2011,106124-86,Investor 887
52196-95,01/06/2010,10052-20,Investor 69
52202-26,03/07/2007,10018-18,Investor 15
52202-71,05/19/2011,105893-83;105976-18;106076-35,Investor 537;Investor 656;Investor 809
52204-60,08/06/2007,10052-20,Investor 69
52213-15,07/15/2009,105980-23,Investor 664
52214-05,05/23/2011,105978-16;106113-43,Investor 662;Investor 865
52217-47,08/16/2010,10052-20;10123-03,Investor 69;Investor 151
52218-19,03/03/2010,105847-84;105918-31,Investor 470;Investor 564
52218-28,06/13/2012,10445-23,Investor 374
52219-54,04/17/2008,105884-65;105928-75;105950-17;106030-63;106060-60;106104-88,Investor 520;Investor 579;Investor 612;Investor 737;Investor 786;Investor 855
52226-56,08/22/2008,105918-31;105970-24;106113-43,Investor 564;Investor 644;Investor 865
52229-80,05/26/2011,106070-77,Investor 801
52230-07,06/08/2016,105847-84,Investor 470
52232-68,03/11/2008,10139-41,Investor 161
52233-94,04/13/2010,105945-22,Investor 604
52237-45,06/01/2010,105943-87;106013-53;106054-39,Investor 602;Investor 707;Investor 776
52239-97,02/09/2009,10242-91,Investor 245
52241-32,08/15/2007,10331-11,Investor 291
52244-20,06/17/2007,10070-83,Investor 102
52245-73,02/11/2010,106019-47;106070-77,Investor 718;Investor 801
52249-06,10/24/2011,10134-73,Investor 156
52256-35,04/16/2007,10042-21;10070-83,Investor 54;Investor 102
52258-60,01/22/2013,10139-41,Investor 161
52264-27,05/28/2010,105901-66;105943-87,Investor 546;Investor 602
52264-99,03/14/2008,10052-20,Investor 69
52269-22,06/09/2011,106105-87;106120-99,Investor 856;Investor 881
52272-01,03/18/2010,10181-17,Investor 196
52273-81,04/01/2009,10052-20,Investor 69
52274-62,01/01/2010,105955-84,Investor 622
52275-25,02/02/2007,10181-17,Investor 196
52275-52,07/01/2012,10181-17,Investor 196
52279-39,06/13/2011,105977-98,Investor 661
52282-27,04/04/2011,105874-30;105918-31;105921-64;106081-12,Investor 505;Investor 564;Investor 570;Investor 812
52283-08,05/13/2010,105930-91;106067-89,Investor 583;Investor 795
52283-26,06/10/2011,105854-23,Investor 481
52285-33,01/17/2012,10437-94,Investor 370
52288-57,06/16/2011,10404-46,Investor 350
52288-84,06/16/2011,106072-21,Investor 804
52289-29,06/15/2011,10072-27;105955-84;106025-23,Investor 104;Investor 622;Investor 731
52292-98,06/17/2011,105869-08;105929-65,Investor 497;Investor 582
52293-97,01/15/2010,10133-20,Investor 155
52297-84,06/29/2007,106081-12,Investor 812
52300-27,01/01/2010,10139-41,Investor 161
52300-36,06/21/2011,10052-20;10058-77,Investor 69;Investor 81
52301-26,01/28/2011,106093-45,Investor 832
52301-35,06/21/2011,10139-41,Investor 161
52303-51,06/21/2011,106062-40;106113-43,Investor 788;Investor 865
52305-40,08/18/2008,10154-71,Investor 172
52311-34,07/31/2009,106036-75,Investor 747
52312-24,06/08/2011,105927-94;106075-72,Investor 575;Investor 808
52312-33,05/11/2011,106092-64,Investor 830
52312-51,05/11/2011,105890-77;105945-22;106053-40;106063-21;106093-90;106114-06,Investor 532;Investor 604;Investor 774;Investor 789;Investor 834;Investor 866
52320-88,06/24/2011,10133-20;105939-37;105949-45,Investor 155;Investor 594;Investor 610
52323-40,06/23/2011,105858-55,Investor 486
52326-82,12/31/2009,106037-38,Investor 748
52326-91,06/28/2011,106036-75,Investor 747
52327-90,01/02/2012,106038-10;106062-40;106113-43,Investor 749;Investor 788;Investor 865
52329-16,06/29/2011,105949-45,Investor 610
52329-61,09/27/2010,106076-35,Investor 809
52329-79,06/28/2011,10408-33,Investor 353
52331-23,11/01/2009,10139-41;105991-75,Investor 161;Investor 678
52332-49,04/06/2009,10077-85,Investor 115
52333-66,06/29/2011,10139-41,Investor 161
52336-36,06/29/2011,105848-92,Investor 473
52337-98,02/08/2011,105901-66;106081-66,Investor 546;Investor 813
52340-86,08/01/2009,106019-92,Investor 720
52343-74,01/06/2012,10134-73,Investor 156
52350-40,01/09/2010,106008-13,Investor 700
52354-63,02/03/2011,10195-75,Investor 211
52354-72,07/07/2011,10052-20;10446-40,Investor 69;Investor 376
52358-23,07/06/2011,106043-41,Investor 758
52369-03,07/12/2011,10139-41,Investor 161
52369-30,07/11/2011,106054-39,Investor 776
52370-11,07/08/2011,106067-89,Investor 795
52373-53,06/18/2009,105985-63,Investor 671
52373-62,07/13/2011,10123-03;105918-31,Investor 151;Investor 564
52377-31,07/12/2011,10133-20;106052-23;106117-48;106124-41,Investor 155;Investor 772;Investor 873;Investor 886
52379-92,07/13/2011,10468-45;105870-79;106011-46;106025-23;106035-13;106055-20,Investor 393;Investor 500;Investor 705;Investor 731;Investor 742;Investor 777
52497-64,10/03/2008,10146-16,Investor 167
52498-00,09/11/2009,10022-14,Investor 23
52498-45,07/18/2011,10133-20,Investor 155
52505-29,09/20/2012,10052-20,Investor 69
52507-27,06/03/2010,106008-13;106045-12,Investor 700;Investor 760
52514-65,10/12/2010,105858-55;106070-77,Investor 486;Investor 801
52514-74,07/20/2011,10331-11,Investor 291
52515-19,07/19/2011,106057-18,Investor 781
52523-02,08/04/2011,105955-84,Investor 622
